id,url_id,user,text,created,updated,references,in_class
2KUrStGMEeiJppdhku661g,1,juan,"Sometimes referred to as [Goodhart's law](https://en.wikipedia.org/wiki/Goodhart%27s_law): ""When a measure becomes a target, it ceases to be a good measure""",2018-10-16,2018-10-16,['OZ-lRM9vEeiOdj-juDHneQ'],True
DTGR0tGDEeip-tONnpTMSQ,1,vreichsh,"Somehow this doesn't surprise me, but I do wonder why Twitter would be seen as less academic than Facebook...? 

I wonder if it has a small part to do with character limits. If you can only describe something in one post in only a few hundred characters, will you be able to represent your work accurately? If not, this would mean it partly goes down to the very language (and limited language) we use to promote ideas...",2018-10-16,2018-10-16,,True
4cy0LNGCEei83esBlz_ZHQ,1,vreichsh,"I'd like to know how they are measuring this. At my workplace, we reference studies once in a while, and we do put a proper citation at the end of the blog post, but otherwise, we link to the website where the article can be found/downloaded/purchased...So is there someone who is just googling to find mentions of research on the web? ",2018-10-16,2018-10-16,,True
qTa9BtGCEeigQGOL_L9v6Q,1,vreichsh,"I think the categories will stay somewhat constant, at least for a while. The sites that one uses to access these categories will change. Facebook has been going strong, but it could be replaced by something bigger in the future...But I imagine it will be replaced by another social media site similar to Facebook...And blogs will probably always be around, as well as wikis...",2018-10-16,2018-10-16,['MwcIzND0Eei4-B_TKkev1A'],True
fibfztGCEeiv_WPcSNkEvw,1,vreichsh,"I've never thought of Twitter as a ""microblog."" That's a really interesting thought. I suppose it is a good definition of it. 

I think the nature of the platform must play a big role in all of this. If Facebook were used more to follow academic work and research, then you would think that engagement is higher there. Same if Twitter were the platform that engages in it the most. ",2018-10-16,2018-10-16,['b7BXztAnEeibPv_wD_IlhA'],True
RT7bHNGCEei8Eb94ap3cKA,1,vreichsh,"Let's just throw some other ""metrics"" into the mix!",2018-10-16,2018-10-16,,True
Cvl8ltGCEei9QlvTk6nZEg,1,vreichsh,This is so vague and non-tangible...,2018-10-16,2018-10-16,,True
rwSfONGBEeiv9zc_Rkij-A,1,vreichsh,"For fun, I googled ""altmetrics."" The first thing that came up was altmetric
.com and the description shown in the Google results is ""Altmetric tracks a range of sources to capture and collate this activity, helping you to monitor and report on the attention surrounding the work you care about."" Uh...What?  ",2018-10-16,2018-10-16,['QTiQZs_uEei6NPtdlY9jZg'],True
6VlBINGBEeiGntdnH7AnBA,1,vreichsh,"I wonder if part of the question is ""who is doing the citing?"" If it's someone on Twitter, they could be an academic or someone well respected in a research community, but it will still be seen as a more ""casual"" setting for the citation to be occurring. Maybe it just comes down to hierarchy and ""who's who"" in research circles.",2018-10-16,2018-10-16,,True
kbq9ItGBEeiDVPMzKSZBFA,1,vreichsh,"I agree. I suppose it depends on the article's target audience, but I am also feeling a bit lost. ",2018-10-16,2018-10-16,['QTiQZs_uEei6NPtdlY9jZg'],True
YC34ANGBEeiOQgvAoGtsQQ,1,vreichsh,Had to look this one up: Citation cartels consist of authors or journal editors that have teamed up to increase the citation of their articles by disproportionately citing articles of cartel members more than other relevant articles. (From https://www.enago.com/academy/citation-cartels-the-mafia-of-scientific-publishing/ ),2018-10-16,2018-10-16,,True
GMtgatGBEeiee-ccRfeqtQ,1,vreichsh,"Social media seems to be something that is viewed as ""casual,"" and non-academic, which is fair to a certain extent. it also complicates how we live in the world - we are always warned not to put too much of ourselves on social media because prospective employers may look us up and not like what they see. It seems this casual-ness could be some of the root of the skepticism of using social media as a way to disseminate research and its outcomes.",2018-10-16,2018-10-16,,True
ye2QTtGAEei9Qeu4sImU2w,1,vreichsh,I wonder how much the sharing of academic feminist scholarship has contributed to the large rise of feminism on social media...If at all.,2018-10-16,2018-10-16,"['_HhM-s9XEeikxwMgE3b_6Q', 'GFb6UtEGEeincvdm6tBlwQ', 'PeGirtEVEeiHoE9fh4RQVg']",True
rhvZ_NGAEeiBKL-nCYp3AQ,1,vreichsh,"That is what I have always pictured when talking about digital literacy. I've done some projects that have shown social media literacy is being taught in elementary and secondary schools, but I'm not sure it's super widespread.",2018-10-16,2018-10-16,"['_HhM-s9XEeikxwMgE3b_6Q', '8EL_HNDwEeitsF-VPKAuyA', 'e6zP9tEFEeiESu9KRes7Dg', 'U88WXNETEeikkwf6DQk6Kg']",True
gtO9yNGAEei738dHygmSYw,1,vreichsh,I would welcome something that would make a more streamlined process of reading research/academic work and then reading up on the sources they've cited...,2018-10-16,2018-10-16,,True
NnjRAtGAEeiVeLtUqBrQdQ,1,vreichsh,"I feel like this is very telling...Why hasn't it changed? What powers are at play that have kept it so static? What is the benefit to having them not change as methods of communication, studying, and as academia changes, not to mention the practice of science itself changing.",2018-10-16,2018-10-16,,True
Azu_HNFNEeiWkEfcdjrOlw,1,aliceLF,"That wouldn't surprise me. My guess is that, for some scholars, the impetus to put work out on social media isn't so much about reaching the public, but rather about reaching other scholars or [fulfilling the ""public outreach"" component](https://www.altmetric.com/blog/how-to-use-altmetrics-to-showcase-engagement-efforts-for-promotion-and-tenure/) of the research, promotion and tenure process. ",2018-10-16,2018-10-16,"['DHhUoM9ZEeilEmNgz5gWbw', 'q3yUQNDFEeiZV_9pQ047Bg', 'dANRPND0Eeikqh8AVyVCAQ', 'JSb6xtEUEei80KdEXBh4cw']",True
zNE-NtEiEeit0X-VihINxA,1,Bubblbu,"and maybe one more--quite oldskool--source for this topic. the initial manifesto that introduced the name:

http://altmetrics.org/manifesto/",2018-10-16,2018-10-16,"['5ad78M2UEeiyoJtDC357Tw', 'KofJstDzEei496tIEnmvsQ']",True
iZEc4NEiEeifU69Zca8eLw,1,Bubblbu,"yes *sob*

I have been working with Facebook for a few months and they introduced several small changes to their interface and one major revision...

their credo was ""move fast and break things"" which is obviously not great news for anyone trying to build on their infrastructure",2018-10-16,2018-10-16,['0rcTDtAmEeiTHHMsoCqYVQ'],True
Q7w6StEfEeizQ7erQedGIA,1,Bubblbu,"""Your paper has been referenced in a Hypothesis annotation""

Altmetric score +1",2018-10-16,2018-10-16,['kg-iJND1EeinZq8j6GRVyQ'],True
H1mVtNEiEei0LdtH3Dwu4g,1,Bubblbu,"this did, btw, not really happen...

but maybe that would actually be a fun, little altmetrics exercise to have a meta-report of all the papers that we annotated and read...",2018-10-16,2018-10-16,"['kg-iJND1EeinZq8j6GRVyQ', 'Q7w6StEfEeizQ7erQedGIA']",True
1dCFGtEhEeiVB09v3tMtzQ,1,Bubblbu,"great question. a lot of initiatives in the open science community are asking the same question at the moment. e.g. [#dontLeaveItToGoogle](http://elephantinthelab.org/google-and-research-data/) 

this is super important now that the commodification of attention has also reached academia",2018-10-16,2018-10-16,['VqlvuM9aEeivhPu_d9H6sQ'],True
WmeawtEgEeiHrLMnGWPLbw,1,Bubblbu,+1,2018-10-16,2018-10-16,['cPqpDs_wEeiF1APAaU9oSg'],True
I8ooGNEgEei9epMO_gVEKQ,1,Bubblbu,"this is just one aspect of the problem, but I feel like in many cases technology and policies make this decision. some altmetric sources might not be used, because it's simply not technically feasible to collect enough reliable data. rate limits to collect enought information, closed licenses or privacy issues, or simply no public way to get the information",2018-10-16,2018-10-16,"['JXwdgs_wEeivY5drZvwLTQ', 'eO4eWtD2Eei3V8NflIPuwg']",True
ziq1EtEfEeiy6Jvmfp40Ew,1,Bubblbu,"This is a problem that CrossRef is trying to address with a new service called Event Data: https://www.crossref.org/services/event-data/

The idea is to register certain events on the web for scholarly articles with DOIs. even the platform or even disappears it should have been recorded in a useful format by CED

(crossref also issues and resolves most of the DOIs for articles. they are a central piece of infrastructure for the current publishing landscape)",2018-10-16,2018-10-16,['JXwdgs_wEeivY5drZvwLTQ'],True
jEStFtEeEeiC5O9iNtB7sA,1,Bubblbu,"I think that this one particularly refers to scientometrics in the non-social media sense. As far as I know, there is no agreed upon citation theory or theory of publishing behaviour

but as you've said... it doesn't get easier once we include social media and non-traditional publication forms :D",2018-10-16,2018-10-16,['ypT-ptAnEeiTIKe6zDiMmQ'],True
iObKzNEVEei9cb_3jH85Lw,1,michelle_la,"Before we even start thinking how address this important question you've raised, we have to make sure university's are ""walking the walk"" when they are ""talking the talk"" about how much they care about public engagement! ",2018-10-16,2018-10-16,['qNnOOtEJEei5B6NBGlTO4w'],True
PeGirtEVEeiHoE9fh4RQVg,1,michelle_la,"However, I do think there can be a good in playing with the algorithm. Some academic communities are are quite active on social media. E.g. I could see feminist scholars being more active in supporting (sharing online) feminist scholarship or scholarship by females to 'combat' the gender bias in academia. ",2018-10-16,2018-10-16,"['_HhM-s9XEeikxwMgE3b_6Q', 'GFb6UtEGEeincvdm6tBlwQ']",True
okX0HNEUEeiy3sO68ukm5w,1,michelle_la,I think we have to exercise same awareness that we would use for social media.... if something is trending (as Alice mentioned earlier) or has gone viral -- be suspect or understand it within its context e.g. may be relevant to a current hot political issue,2018-10-16,2018-10-16,['8SLWmtEKEeiVGdMkdfpKPw'],True
JSb6xtEUEei80KdEXBh4cw,1,michelle_la,"AND Pinterest! I've seen some visually appealing infographics.

Hmmm, this makes me think perhaps its the academics/academia who aren't reaching out to the public where the public mostly does its social media?",2018-10-16,2018-10-16,"['DHhUoM9ZEeilEmNgz5gWbw', 'q3yUQNDFEeiZV_9pQ047Bg', 'dANRPND0Eeikqh8AVyVCAQ']",True
f_VXvtETEei-WkcdlHlbGA,1,michelle_la,"When I read that sentence I did think ""everything and nothingness""",2018-10-16,2018-10-16,['QTiQZs_uEei6NPtdlY9jZg'],True
U88WXNETEeikkwf6DQk6Kg,1,michelle_la,"In our course, data literacy has been discussed as education to be pushed in primary and secondary education, I hope that social media literacy would be a part of it.",2018-10-16,2018-10-16,"['_HhM-s9XEeikxwMgE3b_6Q', '8EL_HNDwEeitsF-VPKAuyA', 'e6zP9tEFEeiESu9KRes7Dg']",True
XhYScNEMEeiemTtCUWWbhw,1,melissa_roach,This demand strikes me as terribly frustrating. When does the effort put into proving the worth of your work to funders — collecting and interpreting data about your impact — start to eat too much into time that could be spent actually doing the work?,2018-10-16,2018-10-16,,True
8SLWmtEKEeiVGdMkdfpKPw,1,melissa_roach,It seems that altmetrics might be at risk of rewarding high engagement just for engagement's sake. Does a quantitative measure of views/tweets/citations assume that more attention means the work is valuable and productive?,2018-10-16,2018-10-16,,True
qNnOOtEJEei5B6NBGlTO4w,1,melissa_roach,"I'm really curious about the demographic of each of these platforms are considered. (i.e. Social media sites like Twitter are more frequented by people outside the academic community, while metrics from citation/reference tools more likely indicate researcher engagement.)

What type of engagement is more valuable to RPT processes? Is there a desired balance between non-academic and academic uptake?",2018-10-16,2018-10-16,,True
FAjN5NEHEeitu1uYDgU9qw,1,juan,Definitely. The term was [famously applied to the science context](https://search.proquest.com/docview/1291014184/fulltextPDF/11D04E1B8BF34841PQ/1?accountid=13800) by Merton in the mid-90s,2018-10-16,2018-10-16,"['3eTR3s9aEeilxyfyRjBSQw', 'pgL30ND2EeiMajfyoxdpLQ']",True
GFb6UtEGEeincvdm6tBlwQ,1,melissa_roach,"And Michelle, to your point, I think this idea could potentially be hinting at a populist sort of scholarship, twisted by algorithms and other mechanisms that suppress certain voices and amplify others.",2018-10-16,2018-10-16,['_HhM-s9XEeikxwMgE3b_6Q'],True
e6zP9tEFEeiESu9KRes7Dg,1,melissa_roach,"Agreed! I think the same could be said of what research is most-cited in mainstream news. I sometimes worry about overvaluing the measure quantity of engagement over the depth or quality — of the engagement, and the article.",2018-10-16,2018-10-16,"['_HhM-s9XEeikxwMgE3b_6Q', '8EL_HNDwEeitsF-VPKAuyA']",True
pgL30ND2EeiMajfyoxdpLQ,1,aliceLF,"Does this not also happen with ""traditional"" metrics—i.e citations? ",2018-10-16,2018-10-16,['3eTR3s9aEeilxyfyRjBSQw'],True
eO4eWtD2Eei3V8NflIPuwg,1,aliceLF,"Yeah, my big question is who decides which platforms count and which don't? Who determines that, say, Twitter is an acceptable source for Altmetrics while Snapchat isn't? ",2018-10-16,2018-10-16,['JXwdgs_wEeivY5drZvwLTQ'],True
kg-iJND1EeinZq8j6GRVyQ,1,aliceLF,Asura has a cool paper about this! About the challenges of using Facebook data as an indicator of engagement: https://arxiv.org/abs/1809.01194 ,2018-10-16,2018-10-16,,True
dANRPND0Eeikqh8AVyVCAQ,1,aliceLF,I'm also curious why Instagram isn't mentioned anywhere. There are definitely scicommers who use it. ,2018-10-16,2018-10-16,"['DHhUoM9ZEeilEmNgz5gWbw', 'q3yUQNDFEeiZV_9pQ047Bg']",True
MwcIzND0Eei4-B_TKkev1A,1,aliceLF,"But how long will these groups remain relevant? Social media changes so, so fast. ",2018-10-16,2018-10-16,,True
-weVkNDzEeifPAMUg66Rdg,1,aliceLF,"So if someone shares/favorites/retweets a scholar's personal tweet—something completely unrelated to any research—does that count as scholarly metrics? If so, that seems problematic. ",2018-10-16,2018-10-16,,True
KofJstDzEei496tIEnmvsQ,1,aliceLF,"The Altmetric blog has a helpful video about this, if anyone is unfamiliar (though it's a little cheesy):  https://www.altmetric.com/about-altmetrics/what-are-altmetrics/#prettyPhoto/0/ (though ",2018-10-16,2018-10-16,['5ad78M2UEeiyoJtDC357Tw'],True
uBhpZNDxEeiOEftVAg5xDg,1,aliceLF,"*Salami publication can be roughly defined as a publication of two or more articles derived from a single study (2). Articles of such type report on data collected from a single study split into several segments just large enough to gain reasonable results and conclusions, also known as “minimal publishable unit” (3).*

Source: Smolčić, V. Š. (2013). Salami publication: definitions and examples. Biochemia Medica, 23(3), 237–241. http://doi.org/10.11613/BM.2013.030",2018-10-16,2018-10-16,,True
8EL_HNDwEeitsF-VPKAuyA,1,aliceLF,"It's probably a better measure of what's most sensational, rather than what's most relevant. At least, as far as Twitter's ""trending"" hashtags seem to suggest.",2018-10-16,2018-10-16,['_HhM-s9XEeikxwMgE3b_6Q'],True
6zynlNDvEeiXx88L5EXQlw,1,aliceLF,"It's true. Just think of the New York Times, Wall Street Journal, any of the top women's mags, even just our local paper, the Georgia Straight.... Virtually all major mainstream publications are now optimized for online reading. Going ""digital"" doesn't mean simply posting a PDF version of your publication; from design to editorial to marketing, it's an entirely different form of publishing. It's so strange that scholarly journals haven't really adapted their process to the online environment yet. ",2018-10-16,2018-10-16,['vRfg3s2VEeiNv0tJRWMy6A'],True
dmDYKtDKEein4ZtbYcOsCQ,1,KariGustafson,"This presents a new dilemma: research in topics that happen to be trending at any given moment are then given a boost in their appearance of impact, rather than the impact or importance of the research causing the trending of the article.",2018-10-15,2018-10-15,,True
0QRWBtDHEei1BCNFmSwQUg,1,KariGustafson,"Once again: really?! Is this really how we want to determine which research gets done / results get published?

The irony of this particular situation is also delightful. We want to evaluate the quality (rather than quantity) of dissemination of ideas. But we don't have time or resources to do a thorough investigation because we have to get our data out there as quickly as possible, because quantity is more important than quality of ideas disseminated.",2018-10-15,2018-10-15,,True
q3yUQNDFEeiZV_9pQ047Bg,1,KariGustafson,Agreed!,2018-10-15,2018-10-15,['DHhUoM9ZEeilEmNgz5gWbw'],True
mg0VNtCiEeiIP0erZvX9UA,1,linnteetzel,"Readers on mendeley
A different number of citations can be expected for publications appearing in different subject categories and publication years. For this reason, the citation-based normalized indicator Mean Normalized Citation Score (MNCS) is used in bibliometrics. Mendeley is one of the most important sources of altmetrics data.",2018-10-15,2018-10-15,,True
6aUjstCeEei0DcfK5kQOYA,1,linnteetzel,I agree.  It would be interesting to see this article revised so that it is accessible to the general public.  ,2018-10-15,2018-10-15,['9ntpWs_sEeiswav7CDR-tA'],True
XuMQPNCdEeiPnyMrtjLeWg,1,linnteetzel,"Bibliometrics is statistical analysis of written publications, such as books or articles. Bibliometric methods are frequently used in the field of library and information science, including scientometrics.",2018-10-15,2018-10-15,,True
G-CGHNA4Eeis7w_zrMIupA,1,Cgursche,"Is this what one would consider a fair bit of self-referencing? 45 references, 8 belong to the author.",2018-10-15,2018-10-15,,False
bs_mktApEeikPK8TvddShQ,1,cypriine,"Tackling data quality is a particularly difficult question: the lack of a common definition or guideline for what altmetrics is throws bias into deciding what can be considered quality data. This likely has to do with the difficulties of integrating altmetrics into scholarly research because of its changing nature. Echoing an earlier sentiment in this paper, I think that altmetrics should not be integrated completely, but complementary to other research methods that we have. This might allow for a better integration for the potential of data that we have, as well as a way to better understand and define what good quality looks like. ",2018-10-15,2018-10-15,,True
ypT-ptAnEeiTIKe6zDiMmQ,1,cypriine,Oh dear. I suppose it is easy when discussing social media as an academic source to get stuck in whether it is a valid one.,2018-10-15,2018-10-15,,True
b7BXztAnEeibPv_wD_IlhA,1,cypriine,"What is the difference between a mention in a microblog like Twitter, if it's professionally focused? As mentioned later, engagement with Twitter is much higher, although that might be attributed to a larger user base. Is it the nature of the platform?",2018-10-15,2018-10-15,,True
0rcTDtAmEeiTHHMsoCqYVQ,1,cypriine,"Interesting, and perhaps sensible considering the amount of data (e.g. the difference between the blog post mention and the tweet in this paragraph) there is to sort and define commonly. It must be frustrating for the scholarly community to integrate altmetrics, *because* of its changing nature.",2018-10-15,2018-10-15,,True
4JcmStAlEeitGoe97hD5Tg,1,cypriine,"""the study of web-based content with primarily quantitative methods for social science research goals using techniques that are not specific to one field of study"" (Thelwall, 2009)",2018-10-15,2018-10-15,,True
H6PHGNAlEeiTfze5oXJ75Q,1,cypriine,referring to the development of altmetrics.,2018-10-15,2018-10-15,,True
jZJ8Xs_wEeiN94fSf7wiYw,1,anastasiak,"No kidding, what a paradox. ",2018-10-14,2018-10-14,,True
cPqpDs_wEeiF1APAaU9oSg,1,anastasiak,"Until there is a conceptual framework for understanding altmetrics, they are unreliable indicators of engagement. ",2018-10-14,2018-10-14,,True
JXwdgs_wEeivY5drZvwLTQ,1,anastasiak,"I suppose if a new platform was created too, it would create difficulties for recognizing the new data source and measuring its impact. ",2018-10-14,2018-10-14,,True
dnN6SM_uEeibX796k6EcTA,1,anastasiak,I could have used this definition earlier in the article. ,2018-10-14,2018-10-14,,True
QTiQZs_uEei6NPtdlY9jZg,1,anastasiak,"I'll say - altmetrics are confusing! Even more so by its broad definition. 

I understand that this is discipline-specific writing, but this topic could have been presented in a more accessible way to the lay person. ",2018-10-14,2018-10-14,,True
Qsffqs_tEeiu6Pszb3mBdg,1,anastasiak,"Perhaps there hasn't been much change historically, but contemporary changes seem significant. A move to open-access, and **online** journals that allow for wider access to scholar material. It may not be a revolution, but it is change. ",2018-10-14,2018-10-14,,True
9ntpWs_sEeiswav7CDR-tA,1,anastasiak,"A possible answer to the question: how do we make research accessible to the general public?

Researchers would have the burden of making their research understandable to the lay man, and also of disseminating their information through informal (as opposed to professional channels) social media.",2018-10-14,2018-10-14,,True
yVwqFs9dEeiCH_tSgMpTTQ,1,michelle_la,"I am inspired by the lack of inspiring discussion on altmetrics. We can't make a perfect system unless it exists for us to make improvements on.

I (hypothetically, kind of - not really) suggest that our PDC class submits a research proposal for funds to create our own open-source alt metric system for eventual beta testing. We have enough diverse and critical minds to think about the objectives and limitations of factors that would go into a social media research altmetric.",2018-10-14,2018-10-14,,True
PVFCus9vEei9AhNDDQ50zg,1,Cgursche,"One can imagine a disreputable sort self citing in blog posts to inflate the count, then deleting said posts to eradicate the evidence of malfeasance, the wayback machine notwithstanding.",2018-10-14,2018-10-14,,False
Ox4cPs9vEeiJ9pfHjI7M3g,1,Cgursche,"One can imagine that certain fields would garner ""easier"" mentions than others. Psychology, for instance, might be more accessible than microbiology findings.",2018-10-14,2018-10-14,,False
OZ-lRM9vEeiOdj-juDHneQ,1,Cgursche,Any measurement that impacts hiring and pay practices will inevitably be turned for nefarious means.,2018-10-14,2018-10-14,,False
3O_1-s9bEeiMVlN9Hem0gQ,1,michelle_la,"Neither does impact factor/number or citation count...

I think having a beta version of an open-source Altmetric would be worth giving a shot. We can't perfect anything unless we put it into practice

I think researchers and consumers of research (hopefully) would be able to take any altmetric measure with a grain of salt. In our social media age, I think most people have awareness for the reasons why something goes viral (e.g. its really bad or good). I hope the same attitude would extend to research altmetrics.",2018-10-14,2018-10-14,,True
3eTR3s9aEeilxyfyRjBSQw,1,michelle_la,"The Matthew effect, Matthew principle, or Matthew effect of accumulated advantage can be observed in many aspects of life and fields of activity. It is sometimes summarized by the adage ""the rich get richer and the poor get poorer - [Wikipedia](https://en.wikipedia.org/wiki/Matthew_effect)",2018-10-14,2018-10-14,,True
VqlvuM9aEeivhPu_d9H6sQ,1,michelle_la,Where is the researcher and the individual research consumer in this conversation as stakeholders?,2018-10-14,2018-10-14,,True
DHhUoM9ZEeilEmNgz5gWbw,1,michelle_la,"This would be an interesting question to ask the class, what platforms do we use to learn about latest research (in our field)?",2018-10-14,2018-10-14,,True
_HhM-s9XEeikxwMgE3b_6Q,1,michelle_la,More like the wisdom of those who create the algorithms... ,2018-10-14,2018-10-14,,True
y9JfjM9XEei872uXaNNAyw,1,michelle_la,"statistical analysis of books, articles, or other publications.",2018-10-14,2018-10-14,,True
vRfg3s2VEeiNv0tJRWMy6A,1,cypriine,I had a sense of how articles would be a virtually identical adaptation online.I didn't realize how much the advent of social media would challenge and engage the scholarly community with how fast information diffuses through social media communities.,2018-10-11,2018-10-11,,True
5ad78M2UEeiyoJtDC357Tw,1,cypriine,"[altmetrics](http://www.whatarealtmetrics.com/what/): ""data that can explain both the volume and nature of attention that research receives online.""",2018-10-11,2018-10-11,,True
x_FSCrvLEeioqHu7TwVYAw,2,KariGustafson,So publishers were digging their own graves. Or creating crisis that demanded innovative action.,2018-09-19,2018-09-19,,True
_9tGzLvKEeib-_-vb2H6Tg,2,KariGustafson,"Not only greater understanding of the world, but support the understanding and dialog with more of the world.",2018-09-19,2018-09-19,,True
0AeaDrvKEeib-ofcsKitig,2,KariGustafson,This is a interesting thought - and leads in several potential directions.,2018-09-19,2018-09-19,,True
sDYHcLgsEeiFGb8WQeG8HA,4,Bubblbu,my favourite kind of analysis!,2018-09-14,2018-09-14,,True
NP7LLrefEeimMQP4R0Wucg,4,cypriine,"I have to assume that we have to, because maintaining this strict definition in daily life does not sound feasible.",2018-09-13,2018-09-13,['td258rZREeiLlldMrYu7rw'],True
s0uKgredEeiyPrOw8IdtNA,4,cypriine,"I like this. In my opinion, my initial impression upon hearing the word 'bullshit' is that the person that is expressing it without due consideration. However, I think that this could be the intended effect of spreading so-called fake news. The public may more easily dismiss careless bullshit instead of something more sinister. 
In my opinion, reducing these stories to bullshit may do more harm to public perception, but the word itself still generates a fair amount of public attention, however shallow.",2018-09-13,2018-09-13,['0bfXzrZNEeigoM90ihHqIw'],True
apuBWLecEeiG0jNjMxJUig,4,cypriine,"The difficulty for me is that the author's definition is so broad, and as the others have commented, a little bit of a stretch. I am leaning more towards the latter of your interpretation, but I can not decisively say that his speech is made entirely in the name of self-preservation. If I understand this correctly, later, the author goes on to imply that the orator perhaps believes in his words less than what they are meant to convey about him to his audience. This is an interesting point, just not one I am sure if I can agree with. ",2018-09-13,2018-09-13,['u24ifrcbEeiA2b9TEMY3ZA'],True
QLSMvrebEeiVn-dA2Dk7qA,4,cypriine,"Yes, I agree that perception makes it a little difficult to discern a clear definition here. Certainly the orator is being nationalistic, but I think the key is that he is hyperbolic. The hyperbole could be considered as short of a lie , which then could neatly be considered 'humbug' by Black's definition. Of course, it would be ignorant not to acknowledge that the speech being considered humbug is entirely dependent on the audience's perspective, and their kind of truth.",2018-09-13,2018-09-13,"['sJL_5rUnEei8Hmf7qKYVbA', 'qi3tyra_EeiZKh8I41JXXA']",True
QbazDreVEeiVmKdHqrUznQ,4,linnteetzel,"I have read this article at least twice, and have not found it helpful for my understanding of the issues we face.  I look forward to hearing from people who have found something inspiring or helpful here.  Juan???",2018-09-13,2018-09-13,['uLgU0LUyEeiow-MS_NElQg'],True
DShLmLcsEeiVpwsCOaoYPA,4,michelle_la,"This is a rather Eurocentric view of the self. In many cultures, especially that are more collectivist orientated there isn't the idea of the self or it is not developed in the way it is on Eurocentric/ethnocentric teachings that we have been exposed to in North America. Therefore, the idea of a self in these societies can be challenging to understand and  to conceive",2018-09-13,2018-09-13,,True
lTJt5LcrEeiU92tssTtHcg,4,michelle_la,"I don't buy this. I don't think most people have the time to be thinking about the nature of their reality or be solipsistic. It is a rather privileged position to be in to be able to spend one's time pondering about the social construction of reality.

The author also fails to provide examples of what he means as ""anti-realist"" doctrines. So I am just speaking on my interpretation of his writing.

In practice, perhaps what the author is talking about are those who believe in ""alternative facts"" are anti-realists. I think it takes a lot of time, education, intellectual engagement to b able to triangulate data, and be media literate -- i.e. privileged, in order to really have an 'objective' view on the world. While the author does state that objectivity may never be achieved but its a goal, he fails to consider what type of society/culture, education system, values, institutions, resources are needed to create a democracy of ""informed"" citizens. 

I think for many people in the world their sense of reality is based on patterns they see, socialization,  personal experiences, in addition to appeals of authority, etc, So I think we should be more understanding of where and why anti-realist doctrines come from in social life",2018-09-13,2018-09-13,,True
GjhHeLcpEei--EdE8L7eeg,4,michelle_la,Perhaps bullshit is a manifestation of convenience?,2018-09-13,2018-09-13,,True
